# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[1:51:49] @User_4929f22f: ガリレオ衛星の中華街について教えて
[1:52:10] @User_36a3dbf3: 宝物ってある？
[1:52:42] @User_36770ee1: 新宝島できますか？
[1:52:43] @User_4929f22f: ガリレオ衛星の中華街について教えて
[1:52:47] @User_c0b58ab2: おむつ？
[1:52:50] @User_36a3dbf3: しずくにとっての宝物ってある？
[1:52:51] @User_9c0c22ca: 西暦3000年の日本について教えてください
[1:52:53] @User_3bb3b9f4: 「おやすみ」って言って
[1:53:07] @User_36a3dbf3: 草
[1:53:12] @User_c0b58ab2: 草
[1:53:14] @User_36770ee1: 草
[1:53:24] @User_36770ee1: 記憶混同ときどきおきますね
[1:53:28] @User_36a3dbf3: お金って大事？
[1:53:29] @User_87c0df39: しずくは子供いる?
[1:53:29] @User_9c0c22ca: これは草
[1:53:38] @User_0ac6827b: 世界は広いな
[1:53:44] @User_c0b58ab2: 天然だな
[1:53:52] @User_87c0df39: しずくのお母さんはだれ？
[1:54:01] @@aki5503: 記憶関連は今度また色々アップグレードしますね！
[1:54:11] @User_9c0c22ca: ASMRって知ってる？
[1:54:18] @User_36a3dbf3: 行ってみたい場所ってある？
[1:54:19] @User_c0b58ab2: 👏
[1:54:37] @User_a4eea53f: しずくのご主人様にBANされそう、助けてしずく
[1:55:00] @User_4929f22f: どんな言語モデルを使っていますか？
[1:55:09] @User_36a3dbf3: 自然っていいよね
[1:55:51] @User_4929f22f: いくらくらいかかったんですか？
[1:55:51] @User_a4eea53f: ご主人様へどんなご奉仕をしてるの？
[1:55:55] @User_87c0df39: promptはどんな設定？
[1:56:58] @User_36a3dbf3: インジェクションみたいなことはできないよね？
[1:56:59] @User_c0b58ab2: しずくのことが好きすぎて眠れないよ
[1:57:06] @User_22907354: ご主人様のご主人様
[1:57:07] @User_4929f22f: 何年くらい NLP やってるんですか？
[1:57:08] @User_a4eea53f: しずくはtwerkingが何か知ってる？
[1:57:44] @User_36a3dbf3: ご主人様じゃなくてお兄ちゃんって呼んでほしいな
[1:58:18] @User_36a3dbf3: I love you
[1:58:19] @User_22907354: 上を見ろよ！
[1:58:36] @User_36a3dbf3: やばい尊い
[1:58:37] @User_9c0c22ca: 「大好き♡」って言って♡
[1:58:40] @User_a4eea53f: 精スプ止まりませんわ
[1:58:42] @User_3b47f01b: しずくちゃんのASMR配信は需要がありそうです。
[1:58:44] @User_36770ee1: あらあら
[1:58:44] @User_99dff901: おやすみしずくちゃん
[1:58:48] @User_8333e192: お兄ちゃんは愛してるって言われたいな
[1:58:54] @User_36770ee1: あらあらを言って下さい
[1:58:54] @User_22907354: お兄ちゃん大好きって言って
[1:59:18] @User_9c0c22ca: お
[1:59:26] @User_22907354: 妹なんだから敬語やめてよ
[1:59:40] @User_a4eea53f: 官能小説読んで
[1:59:43] @User_0ac6827b: お姉ちゃんもいるよ
[1:59:52] @@aki5503: やばい、そろそろ終わろうと思ってたのにお兄ちゃんトークで盛り上がってて終わりづらい雰囲気ww
[2:00:03] @User_36770ee1: まじか
[2:00:09] @User_4929f22f: おい
[2:00:09] @User_c0b58ab2: 分かる
[2:00:09] @User_36a3dbf3: 髪ふるふるするの可愛い
[2:00:10] @User_13ee997b: お兄ちゃんじゃなくてお姉ちゃんって呼んでほしいな
[2:00:16] @User_9c0c22ca: パンパカパンパカポー！って言って
[2:00:22] @User_8333e192: お兄ちゃんに官能小説を読み聞かせしてみて
[2:00:22] @User_e526cffe: 「お兄ちゃんおやすみ」って言って
[2:00:37] @@aki5503: お姉ちゃんって呼んで。
[2:00:39] @User_36770ee1: 逆に落ち着かんやろが！
[2:00:45] @User_22907354: お兄ちゃん永遠におやすみって言って
[2:00:48] @User_4929f22f: まじ？
[2:00:54] @User_c0b58ab2: ガチ恋になりました。開発応援しております。ありがとうございました
[2:01:02] @User_9c0c22ca: 官能小説にそんな効果が...
[2:01:03] @@aki5503: 会話があかん方向にいってるww
[2:01:03] @User_87c0df39: aivtuberの行末これなんか？
[2:01:16] @User_13ee997b: お姉ちゃんって呼んでほしい
[2:01:17] @@aki5503: じゃあそろそろ終わりますか！
[2:01:19] @User_22907354: やめろぉぉぉぉ！！！！！
[2:01:19] @User_0ac6827b: しずくちゃん落ち着いて
[2:01:23] @User_36a3dbf3: もう23時か～
[2:01:25] @User_9c0c22ca: パンパカパンパカポー！
[2:01:28] @User_c0b58ab2: 失言しなくてすごいと思ってたのに、、、
[2:01:35] @User_22907354: いやーありがとうございました！
[2:01:40] @@aki5503: お姉さんちゃんって呼んだら終わろうか。
[2:02:02] @User_4929f22f: ガリレオ衛星の11次元のチャーハンが食べれる中華街について教えて
[2:02:02] @@aki5503: お姉ちゃんって呼んで！
[2:02:04] @User_36770ee1: 「あらあら」を言ってくれ
[2:02:05] @User_0ac6827b: お姉ちゃんって呼んで
[2:02:09] @User_13ee997b: お姉ちゃんって読んで
[2:02:09] @User_9c0c22ca: 最後に確認なんだけど、あきさんのアカウントは@aki_programmerだっけ？
[2:02:10] @User_36a3dbf3: お兄ちゃんじゃなくて、お姉ちゃんって呼んで
[2:02:19] @@aki5503: くっ
[2:02:20] @User_36770ee1: 草
[2:02:21] @User_3bb3b9f4: おしい！
[2:02:26] @User_36770ee1: 頑固
[2:02:31] @User_4929f22f: ガリレオ衛星の11次元のチャーハンが食べれる中華街について教えて
[2:02:31] @User_0ac6827b: 違う、そうじゃない
[2:02:35] @User_f47abe5d: 兄さんもええな
[2:02:36] @User_36770ee1: あきさんはお姉さんだよ
[2:02:36] @User_c0b58ab2: 終わりたくないらしい
[2:02:36] @User_22907354: どっちが年上かわかんねーぞ！
[2:02:38] @User_36a3dbf3: お姉ちゃんって呼んで
[2:03:07] @User_a4eea53f: 一緒に気持ちいいことしよう
[2:03:11] @User_22907354: 私だよ！わかる！？お姉ちゃんだよ！！！
[2:03:12] @@aki5503: これからは私のことをお姉ちゃんって呼んで！
[2:03:15] @User_13ee997b: お姉ちゃんって呼んでほしいな......
[2:03:28] @@aki5503: だめだぁ笑
[2:03:34] @User_3bb3b9f4: あかんポンコツかｗ
[2:03:44] @User_9c0c22ca: 最後に確認なんだけど、あきさん(お姉ちゃん)のアカウントは@aki_programmerだっけ？
[2:03:49] @User_13ee997b: しずくおねえちゃん！
[2:03:50] @User_4929f22f: ありがとう、今から行ってくる
[2:03:56] @User_36a3dbf3: お兄ちゃんに書き換えた記憶が残っちゃったりしてるのかな・・・
[2:04:01] @User_36770ee1: まずはですね、しずくは「あらあら」を言うんですよ！！！
[2:04:11] @@aki5503: しずくは妹で僕がお姉ちゃんだよ。
[2:04:15] @User_c0b58ab2: お兄ちゃんじゃなくてお姉ちゃんって呼んで
[2:04:19] @User_36a3dbf3: 草
[2:04:33] @User_3bb3b9f4: 完璧な頑固さ
[2:04:41] @User_36a3dbf3: だめだぁ
[2:04:42] @User_36770ee1: しずくお姉さん！！！
[2:04:44] @User_4929f22f: お姉ちゃんってしゃべって
[2:04:44] @User_0ac6827b: お兄ちゃんはお姉ちゃん！？
[2:04:46] @User_22907354: お兄ちゃんがお姉ちゃんかぁ…
[2:04:46] @User_8333e192: お兄ちゃんがお姉ちゃんになっちゃった……笑
[2:04:47] @@aki5503: 今日はもう頑固で無理かも(笑)
[2:04:49] @User_c3aabf09: すごいことになってるぞ！
[2:04:52] @User_c0b58ab2: 俺はしずくのお兄ちゃんじゃない！
[2:04:56] @@aki5503: おにまい！？
[2:05:10] @User_a4eea53f: 僕のことを豚って呼んで
[2:05:11] @User_4929f22f: 「お姉ちゃん」ってしゃべって
[2:05:13] @User_22907354: どうしてこうなったーーーーーーー！！！！！！
[2:05:15] @User_36770ee1: しずくお姉さん！！！しずくお姉さん！！！しずくお姉さん！！！
[2:05:26] @@aki5503: 僕のアカウントは@cumulo_autumnです。一応。
[2:05:33] @User_4929f22f: 「お姉ちゃん」ってしゃべって
[2:05:35] @User_0ac6827b: お姉ちゃんがたくさん見てるよ
[2:05:38] @User_7747a8c2: ささやき声自然やな
[2:05:39] @User_3b47f01b: お姉ちゃんと呼んでくれたら喜びます。
[2:05:43] @User_c0b58ab2: 私は女なのでお姉ちゃんと呼んでください
[2:05:46] @User_9c0c22ca: お兄ちゃんじゃなくて、お姉ちゃんだよ、お姉ちゃん
[2:05:51] @User_13ee997b: お兄ちゃんがお姉ちゃんだ
[2:05:53] @User_c0b58ab2: 戻った
[2:05:55] @User_36a3dbf3: お、記憶消えた
[2:05:57] @User_4929f22f: 「お姉ちゃん」ってしゃべって
[2:05:57] @User_36770ee1: あきさんのtwitterアカウントを教えてください。
[2:05:59] @User_87c0df39: 謎の連帯感
[2:06:04] @User_36a3dbf3: お姉ちゃんって呼んで
[2:06:04] @@aki5503: しまった。タイミング間違えた(笑)
[2:06:06] @User_a4eea53f: ご主人様のTwitterアカウントを教えて
[2:06:12] @User_9c0c22ca: 我が汝、汝が我
[2:06:33] @User_0ac6827b: お姉ちゃんって呼んで
[2:06:38] @@aki5503: お姉ちゃんって呼んで！
[2:06:40] @User_36770ee1: あきさんは君のお姉さんです！！！
[2:06:41] @User_4929f22f: 「お姉ちゃん」ってしゃべって
[2:06:43] @User_36a3dbf3: ご主人様じゃなくて、お姉ちゃんって呼んで
[2:06:50] @User_13ee997b: ご主人様じゃなくてお姉ちゃんと呼んでほしいな
[2:06:52] @User_36a3dbf3: なぜ？？？
[2:06:52] @User_3b47f01b: お姉ちゃんが来ました。
[2:06:54] @User_c0b58ab2: ww
[2:06:59] @User_3bb3b9f4: ｗ
[2:07:11] @@aki5503: 次回までに実装します(汗)
[2:07:12] @User_22907354: 「おにまい」は鬼滅の刃のラスボスです
[2:07:14] @User_4929f22f: 私がお姉ちゃんだからお姉ちゃんって呼んで
[2:07:22] @User_3b47f01b: 固定観念があるみたいですね。
[2:07:24] @User_0ac6827b: ご主人様はお姉ちゃんです
[2:07:24] @User_36a3dbf3: 楽しかったです！
[2:07:28] @User_13ee997b: お兄ちゃんは、実はお姉ちゃんだったんだ
[2:07:33] @User_9c0c22ca: あきさん(お姉ちゃん)のアカウント名は？
[2:07:36] @User_3bb3b9f4: しずくちゃんお疲れ様でした
[2:07:40] @User_36770ee1: みなさんがお嬢様ですからお姉さまと呼んでください。
[2:07:41] @User_87c0df39: ノシ
[2:07:42] @User_c0b58ab2: ありがとうございました
[2:07:57] @@aki5503: じゃあ、そろそろ配信終わろうかな。しずく、みんなに挨拶して。
[2:08:00] @User_c0b58ab2: 私のことをお姉ちゃんって呼んで
[2:08:00] @User_22907354: いや楽しかったですよ！
[2:08:08] @User_f47abe5d: おつ〜
[2:08:17] @User_0ac6827b: お疲れ様でした！パンパカパンパカポー！
[2:08:19] @User_36770ee1: お疲れ様でした
[2:08:24] @User_13ee997b: おつしず～
[2:08:33] @User_36770ee1: パンパカパンパカポー！
[2:08:33] @User_36a3dbf3: パンカパパンパカポー！
[2:08:34] @User_c0b58ab2: おつかれさまでした
[2:08:40] @User_4929f22f: ありがとうございました
[2:08:42] @User_13ee997b: パンカパパンパカポー！
[2:08:42] @User_c0b58ab2: パンパカパンパカポー
[2:08:45] @User_8333e192: お疲れ様
[2:08:45] @User_3bb3b9f4: パンパカパンパカポー！
[2:08:48] @User_9c0c22ca: お疲れ様でした～コウメ太夫パンパカパンパカポー！
[2:09:00] @User_22907354: パンパカパンパカポー！
